 00:00:00.136280 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 143342:144710, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.136961 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 144710:146078, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137099 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 146078:147446, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137100 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 147446:148814, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137101 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 148814:150182, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137101 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 150182:151550, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137102 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 151550:152918, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137103 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 152918:154286, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137104 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 154286:155654, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137105 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 155654:157022, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137106 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 157022:158390, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137107 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 158390:159758, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137108 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 159758:161126, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137108 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 161126:162494, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137109 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 162494:163862, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137110 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 163862:165230, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137111 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 165230:166598, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137112 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 166598:167966, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137340 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 167966:169334, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137341 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 169334:170702, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137342 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 170702:172070, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137343 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [P.], seq 172070:173438, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137344 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 173438:174806, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137345 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 174806:176174, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137346 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 176174:177542, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137347 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 177542:178910, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137347 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 178910:180278, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137348 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 180278:181646, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
 00:00:00.137349 IP yali.mythic-beasts.com.https > mangole.dcs.gla.ac.uk.52088: Flags [.], seq 181646:183014, ack 526, win 506, options [nop,nop,TS val 1395313754 ecr 3652396352], length 1368
